review_item_id,planning_run_id,machine_id,machine_name,maintenance_plan_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
MAINT-REV-0011,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-CAL-001,MAINTENANCE_OVERDUE,CRITICAL,time trigger OVERDUE,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0012,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-CAL-001,HIGH_DEFERRAL_RISK,HIGH,Deferral risk is CRITICAL.,REVIEW_DEFERRAL_RISK,False,True
MAINT-REV-0013,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-BREAKDOWN-001,MAINTENANCE_REVIEW_REQUIRED,MEDIUM,BREAKDOWN_PLACEHOLDER is a placeholder only.,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0014,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-BREAKDOWN-001,PLACEHOLDER_REVIEW,LOW,Breakdown repair placeholder exists but no event or work order is generated.,REVIEW_BEFORE_ACTION,False,True
MAINT-REV-0015,PHASE4-MPS-20260711141513,M-PACK-BENCH-001,Packaging Bench and Tool Set,MP-PACK-MED-001,MAINTENANCE_DUE_SOON,MEDIUM,time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0016,PHASE4-MPS-20260711141513,M-FORK-BENCH-001,Fork and Suspension Prep Bench,MP-FORK-MED-001,SPARE_PART_READINESS_REVIEW,HIGH,Spare part SP-FORK-SUSP-SEAL-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MAINT-REV-0017,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-MED-001,SPARE_PART_READINESS_REVIEW,MEDIUM,Spare part SP-FINAL-ASM-JIG-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MAINT-REV-0018,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-HEAVY-001,SPARE_PART_READINESS_REVIEW,MEDIUM,Spare part SP-FINAL-ASM-JIG-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MAINT-REV-0019,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-CAL-001,SPARE_PART_READINESS_REVIEW,HIGH,Spare part SP-QC-CALIBRATION-KIT-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MAINT-REV-0020,PHASE4-MPS-20260711141513,M-QC-TOOLS-001,QC Inspection Tool Set,MP-QC-BREAKDOWN-001,SPARE_PART_READINESS_REVIEW,HIGH,Spare part SP-ELECTRICAL-SENSOR-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MAINT-REV-0021,PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MP-FRAME-HEAVY-001,HIGH_DOWNTIME_REVIEW,HIGH,Estimated planned downtime is 8.0 hours.,REVIEW_DOWNTIME_IMPACT,False,True
MAINT-REV-0022,PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MP-FRAME-HEAVY-001,HIGH_COST_REVIEW,MEDIUM,Estimated maintenance cost is 1006.00.,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0023,PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,MP-WHEEL-HEAVY-001,HIGH_DOWNTIME_REVIEW,HIGH,Estimated planned downtime is 6.0 hours.,REVIEW_DOWNTIME_IMPACT,False,True
MAINT-REV-0024,PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,MP-WHEEL-HEAVY-001,HIGH_COST_REVIEW,MEDIUM,Estimated maintenance cost is 779.00.,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0025,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-HEAVY-001,HIGH_DOWNTIME_REVIEW,HIGH,Estimated planned downtime is 7.0 hours.,REVIEW_DOWNTIME_IMPACT,False,True
MAINT-REV-0026,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-HEAVY-001,HIGH_COST_REVIEW,MEDIUM,Estimated maintenance cost is 952.00.,REVIEW_MAINTENANCE_PLAN,False,True
