review_item_id,planning_run_id,machine_id,machine_name,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
MAINT-IMPACT-REV-029,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,BOTTLENECK_WORSENING_RISK,CRITICAL,QC Inspection Tool Set may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-030,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,BOTTLENECK_WORSENING_RISK,CRITICAL,Packaging Bench and Tool Set may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-031,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,HIGH_COST_EXPOSURE,CRITICAL,Frame Jig and Alignment Fixture has CRITICAL maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-032,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,HIGH_COST_EXPOSURE,HIGH,Wheel Truing Stand has HIGH maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-033,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,HIGH_COST_EXPOSURE,HIGH,Brake Assembly Bench and Tooling has HIGH maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-034,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,HIGH_COST_EXPOSURE,HIGH,Fork and Suspension Prep Bench has HIGH maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-035,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,HIGH_COST_EXPOSURE,CRITICAL,Final Assembly Stand has CRITICAL maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-036,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,HIGH_COST_EXPOSURE,CRITICAL,QC Inspection Tool Set has CRITICAL maintenance/breakdown cost exposure.,REVIEW_MAINTENANCE_COST_EXPOSURE,False,True
MAINT-IMPACT-REV-037,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Frame Jig and Alignment Fixture candidate MAINT-CAND-002 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-038,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,Frame Jig and Alignment Fixture is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-039,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,Wheel Truing Stand is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-040,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Wheel Truing Stand candidate MAINT-CAND-004 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-041,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Brake Assembly Bench and Tooling candidate MAINT-CAND-005 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-042,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,Brake Assembly Bench and Tooling is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-043,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,Fork and Suspension Prep Bench is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-044,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Fork and Suspension Prep Bench candidate MAINT-CAND-007 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-045,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,Final Assembly Stand is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-046,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Final Assembly Stand candidate MAINT-CAND-009 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-047,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,QC Inspection Tool Set candidate MAINT-CAND-010 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-048,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,OVERDUE_MAINTENANCE_WITH_BREAKDOWN_RISK,CRITICAL,QC Inspection Tool Set is overdue with CRITICAL breakdown risk.,REVIEW_OVERDUE_MAINTENANCE,False,True
MAINT-IMPACT-REV-049,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,QC Inspection Tool Set candidate MAINT-CAND-011 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-050,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Packaging Bench and Tool Set candidate MAINT-CAND-012 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-051,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Frame Jig and Alignment Fixture candidate MAINT-CAND-013 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-052,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Frame Jig and Alignment Fixture candidate MAINT-CAND-014 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-053,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Wheel Truing Stand candidate MAINT-CAND-015 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-054,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Wheel Truing Stand candidate MAINT-CAND-016 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-055,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Brake Assembly Bench and Tooling candidate MAINT-CAND-017 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-056,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Brake Assembly Bench and Tooling candidate MAINT-CAND-018 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-057,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Fork and Suspension Prep Bench candidate MAINT-CAND-019 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-058,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Fork and Suspension Prep Bench candidate MAINT-CAND-020 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-059,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Final Assembly Stand candidate MAINT-CAND-021 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-060,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Final Assembly Stand candidate MAINT-CAND-022 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-061,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,QC Inspection Tool Set candidate MAINT-CAND-023 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-062,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,QC Inspection Tool Set candidate MAINT-CAND-024 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-063,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Packaging Bench and Tool Set candidate MAINT-CAND-025 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
MAINT-IMPACT-REV-064,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,SCHEDULING_CANDIDATE_BLOCKED,HIGH,Packaging Bench and Tool Set candidate MAINT-CAND-026 requires review before scheduling.,REVIEW_BEFORE_STEP7G,False,True
