planning_run_id,from_setup_family_id,to_setup_family_id,workstation_id,machine_type_id,changeover_time_minutes,changeover_complexity,cleaning_required_flag,tool_change_required_flag,quality_check_required_flag,preferred_sequence_flag,avoid_sequence_flag,active_flag,advisory_only_flag,notes,source_phase
PHASE4-MPS-20260726202343,FORK_PREP,FORK_PREP,WS-FORK-SUSP,FORK_SUSPENSION_BENCH,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_FINAL_ASSEMBLY,ROAD_FINAL_ASSEMBLY,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_FINAL_ASSEMBLY,MTB_FINAL_ASSEMBLY,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_FINAL_ASSEMBLY,MTB_FINAL_ASSEMBLY,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,24,HIGH,False,True,True,False,True,True,True,Final assembly stand and checklist changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_FINAL_ASSEMBLY,ROAD_FINAL_ASSEMBLY,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,24,HIGH,False,True,True,False,True,True,True,Final assembly stand and checklist changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_QC_TESTING,ROAD_QC_TESTING,WS-QC,INSPECTION_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_QC_TESTING,MTB_QC_TESTING,WS-QC,INSPECTION_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_QC_TESTING,MTB_QC_TESTING,WS-QC,INSPECTION_TOOLS,8,LOW,False,False,True,False,False,True,True,QC checklist and fixture review.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_QC_TESTING,ROAD_QC_TESTING,WS-QC,INSPECTION_TOOLS,8,LOW,False,False,True,False,False,True,True,QC checklist and fixture review.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_PACKAGING,ROAD_PACKAGING,WS-PACK,PACKAGING_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_PACKAGING,MTB_PACKAGING,WS-PACK,PACKAGING_TOOLS,0,NONE,False,False,False,True,False,True,True,Same family no changeover.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,ROAD_PACKAGING,MTB_PACKAGING,WS-PACK,PACKAGING_TOOLS,6,LOW,False,False,False,False,False,True,True,Packaging label and carton adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260726202343,MTB_PACKAGING,ROAD_PACKAGING,WS-PACK,PACKAGING_TOOLS,6,LOW,False,False,False,False,False,True,True,Packaging label and carton adjustment.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
