review_item_id,planning_run_id,alternative_id,issue_type,issue_severity,business_impact,source_file,recommended_manager_action,auto_action_allowed,advisory_only_flag
STEP8G-REV-0015,PHASE4-MPS-20260726202343,ALT-WIP,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0016,PHASE4-MPS-20260726202343,ALT-COMBINED,PARTIAL_DEMAND_COVERAGE,HIGH,Only 10.5478% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0017,PHASE4-MPS-20260726202343,ALT-COMBINED,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=2469.4334; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0018,PHASE4-MPS-20260726202343,ALT-COMBINED,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0019,PHASE4-MPS-20260726202343,ALT-COMBINED,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=681907.869.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
STEP8G-REV-0020,PHASE4-MPS-20260726202343,ALT-COMBINED,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0021,PHASE4-MPS-20260726202343,ALT-BN-CP,PARTIAL_DEMAND_COVERAGE,HIGH,Only 10.5478% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0022,PHASE4-MPS-20260726202343,ALT-BN-CP,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=2469.4334; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0023,PHASE4-MPS-20260726202343,ALT-BN-CP,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0024,PHASE4-MPS-20260726202343,ALT-BN-CP,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=681895.8157.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
STEP8G-REV-0025,PHASE4-MPS-20260726202343,ALT-BN-CP,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0026,PHASE4-MPS-20260726202343,ALT-SETUP,PARTIAL_DEMAND_COVERAGE,HIGH,Only 9.6539% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0027,PHASE4-MPS-20260726202343,ALT-SETUP,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=3309.4334; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0028,PHASE4-MPS-20260726202343,ALT-SETUP,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0029,PHASE4-MPS-20260726202343,ALT-SETUP,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=684533.8318.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
STEP8G-REV-0030,PHASE4-MPS-20260726202343,ALT-SETUP,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0031,PHASE4-MPS-20260726202343,,UPSTREAM_PHASE_WARNINGS,MEDIUM,Phase 2 warnings=10; Phase 3 warnings=13; integrated warnings=1.,phase4_initialization_validation.json,Keep upstream warnings visible; do not attribute them to Step 8G.,False,True
STEP8G-REV-0032,PHASE4-MPS-20260726202343,"ALT-BASELINE,ALT-MAINT",EQUIVALENT_ALTERNATIVES,LOW,"Equivalent decision metrics for ALT-BASELINE, ALT-MAINT.",phase4_step8g_alternative_summary.csv,Use the simpler baseline reference when equivalent.,False,True
STEP8G-REV-0033,PHASE4-MPS-20260726202343,ALT-BASELINE,RELEASE_NOT_AUTHORIZED,HIGH,Recommendation is for review only; no release is authorized.,phase4_step8g_recommendation.csv,Manager must approve a later decision layer before any execution action.,False,True
