review_rank,sku_id,product_name,category,final_decision_priority,final_risk_level,final_review_type,final_review_severity,primary_review_type,mandatory_review_gates,advisory_review_gates,review_gate_count,mandatory_review_gate_count,final_review_owner,final_review_reason,final_recommended_action,final_action_reason,blocking_review_action,proposed_operational_action,proposed_operational_owner,execution_owner,review_owner,owner_assignment_reason,action_visibility_note,selected_scenario_name,selected_requires_human_review,selected_feasibility_status,selected_feasibility_severity,selected_major_risk_count,selected_review_required_count,selected_soft_warning_count,operational_cost_saving_vs_baseline,penalty_adjusted_saving_vs_baseline,saving_interpretation_type,next_review_step
11,SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,HIGH,HIGH,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,2,3577.5,5077.5,REVIEW_REQUIRED,Review final recommendation before action.
12,SKU-COMP-TIRE-MT-29,UNKNOWN,UNKNOWN,HIGH,HIGH,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,2,3130.31,4630.31,REVIEW_REQUIRED,Review final recommendation before action.
13,SKU-COMP-TIRE-ROAD-700C,UNKNOWN,UNKNOWN,HIGH,HIGH,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,2,2981.25,4481.25,REVIEW_REQUIRED,Review final recommendation before action.
14,SKU-UMR-007,Compact Umbrella,Accessories,HIGH,HIGH,WAREHOUSE_REVIEW,MANDATORY,WAREHOUSE_REVIEW,RECEIVING_CAPACITY_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,4,1,WAREHOUSE_TEAM,Selected split delivery depends on receiving/staging capacity review.,SPLIT_DELIVERY,Selected scenario proposes split delivery to reduce receiving pressure. REVIEW_WAREHOUSE_CAPACITY must be completed before execution approval.,REVIEW_WAREHOUSE_CAPACITY,SPLIT_DELIVERY,PROCUREMENT_TEAM; WAREHOUSE_TEAM,PROCUREMENT_TEAM; WAREHOUSE_TEAM,WAREHOUSE_TEAM,Split delivery requires procurement scheduling and warehouse receiving-capacity confirmation.,Final action shows the proposed operational execution action.,INCREASE_BUFFER__SPLIT_DELIVERY,False,FEASIBLE,SOFT_WARNING,0,0,2,85.62,4398.12,PENALTY_AVOIDANCE,Confirm receiving and staging capacity before approving split delivery.
15,SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,HIGH,HIGH,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,2,3577.5,4327.5,REVIEW_REQUIRED,Review final recommendation before action.
16,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,HIGH,HIGH,EXPIRY_REVIEW,MANDATORY,EXPIRY_REVIEW,EXPIRY_DISPOSITION_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,5,1,WAREHOUSE_TEAM,Selected expiry/dead-stock disposition needs approval.,RETURN_TO_SUPPLIER_REVIEW,Selected scenario proposes supplier return review. REVIEW_EXPIRY_DISPOSITION must be completed before execution approval.,REVIEW_EXPIRY_DISPOSITION,RETURN_TO_SUPPLIER_REVIEW,PROCUREMENT_TEAM,PROCUREMENT_TEAM,WAREHOUSE_TEAM,PROCUREMENT_TEAM owns the proposed operational action.,Final action shows the proposed operational execution action.,TIGHTEN_ORDER_CAP__RETURN_TO_SUPPLIER_IF_ALLOWED,False,FEASIBLE,SOFT_WARNING,0,0,2,631.28,631.28,OPERATIONAL_SAVING,Approve expiry/dead-stock disposition before warehouse or commercial execution.
17,SKU-COMP-PEDAL-SET-001,UNKNOWN,UNKNOWN,HIGH,HIGH,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; EXPIRY_DISPOSITION_GATE; POLICY_PARAMETER_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_COST_SIGNAL,6,4,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected expiry/dead-stock disposition needs approval.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes dead-stock liquidation. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: LIQUIDATE_DEAD_STOCK.,REVIEW_PHASE4_PRODUCTION_LOGIC,LIQUIDATE_DEAD_STOCK,OPERATIONS_MANAGER,OPERATIONS_MANAGER,MULTI_DEPARTMENT_REVIEW,MULTI_DEPARTMENT_REVIEW owns the blocking review; OPERATIONS_MANAGER owns execution after approval.,Final action shows the blocking review gate; proposed operational action is listed separately.,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,2,481.38,481.38,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: LIQUIDATE_DEAD_STOCK.
18,SKU-COMP-BOLT-KIT-001,UNKNOWN,UNKNOWN,HIGH,HIGH,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; EXPIRY_DISPOSITION_GATE; POLICY_PARAMETER_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_COST_SIGNAL,6,4,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected expiry/dead-stock disposition needs approval.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes dead-stock liquidation. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: LIQUIDATE_DEAD_STOCK.,REVIEW_PHASE4_PRODUCTION_LOGIC,LIQUIDATE_DEAD_STOCK,OPERATIONS_MANAGER,OPERATIONS_MANAGER,MULTI_DEPARTMENT_REVIEW,MULTI_DEPARTMENT_REVIEW owns the blocking review; OPERATIONS_MANAGER owns execution after approval.,Final action shows the blocking review gate; proposed operational action is listed separately.,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,2,400.0,400.0,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: LIQUIDATE_DEAD_STOCK.
19,SKU-FIL-009,Replacement Water Filter,Home,HIGH,HIGH,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; EXPIRY_DISPOSITION_GATE; POLICY_PARAMETER_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_COST_SIGNAL,6,4,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected expiry/dead-stock disposition needs approval.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes dead-stock liquidation. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: LIQUIDATE_DEAD_STOCK.,REVIEW_PHASE4_PRODUCTION_LOGIC,LIQUIDATE_DEAD_STOCK,OPERATIONS_MANAGER,OPERATIONS_MANAGER,MULTI_DEPARTMENT_REVIEW,MULTI_DEPARTMENT_REVIEW owns the blocking review; OPERATIONS_MANAGER owns execution after approval.,Final action shows the blocking review gate; proposed operational action is listed separately.,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,2,172.21,172.21,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: LIQUIDATE_DEAD_STOCK.
20,SKU-GFT-010,Premium Gift Wrap Roll,Stationery,MEDIUM,HIGH,EXPIRY_REVIEW,MANDATORY,EXPIRY_REVIEW,EXPIRY_DISPOSITION_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,5,1,WAREHOUSE_TEAM,Selected expiry/dead-stock disposition needs approval.,LIQUIDATE_DEAD_STOCK,Selected scenario proposes dead-stock liquidation. REVIEW_EXPIRY_DISPOSITION must be completed before execution approval.,REVIEW_EXPIRY_DISPOSITION,LIQUIDATE_DEAD_STOCK,OPERATIONS_MANAGER,OPERATIONS_MANAGER,WAREHOUSE_TEAM,OPERATIONS_MANAGER owns the proposed operational action.,Final action shows the proposed operational execution action.,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,False,FEASIBLE,SOFT_WARNING,0,0,3,1378.49,1378.49,OPERATIONAL_SAVING,Approve expiry/dead-stock disposition before warehouse or commercial execution.
