sku_id,product_name,category,warehouse_zone,storage_location,available_quantity,usable_quantity,net_replenishment_requirement,recommended_action,action_priority,next_delivery_date,expiry_status,handling_warning,manager_review_required,employee_instruction
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,TEMPERATURE_CONTROLLED,LOC-TC-003,141.0,141.0,89.0,RETURN_TO_SUPPLIER_REVIEW,HIGH,2026-07-08,NEAR_EXPIRY,MANAGER REVIEW REQUIRED; NEAR EXPIRY; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-SUP-004,Winter Soup Mix 400g,Grocery,TEMPERATURE_CONTROLLED,LOC-TC-001,0.0,0.0,1200.0,SPLIT_DELIVERY,URGENT,2026-07-09,NO_EXPIRY_ALERT,STOCKOUT_OR_NEGATIVE_INVENTORY_REVIEW; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,TEMPERATURE_CONTROLLED,LOC-TC-002,0.0,0.0,880.0,ORDER_RECOMMENDED_QUANTITY,URGENT,2026-07-04,NO_EXPIRY_ALERT,PARTIAL ALLOCATION REVIEW; SUPPLIER SHORTAGE; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Wait for partial delivery; manager review required
SKU-UMR-007,Compact Umbrella,Accessories,SLOW_PICK,LOC-SP-001,8.0,8.0,40.0,SPLIT_DELIVERY,HIGH,2026-07-23,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-BEARING-KIT-001,General Bearing Replacement Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,5.0,5.0,7.0,SPLIT_DELIVERY,URGENT,2026-07-09,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,8.0,8.0,8.0,SPLIT_DELIVERY,URGENT,2026-07-08,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,3.0,3.0,7.0,SPLIT_DELIVERY,URGENT,2026-07-09,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,5.0,5.0,8.0,SPLIT_DELIVERY,URGENT,2026-07-09,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,3.0,3.0,14.0,SPLIT_DELIVERY,URGENT,2026-07-10,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,6.0,6.0,14.0,SPLIT_DELIVERY,URGENT,2026-07-07,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-LUBE-OIL-001,General Machine Lubricating Oil,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,24.0,24.0,28.0,SPLIT_DELIVERY,URGENT,2026-07-06,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,10.0,10.0,15.0,SPLIT_DELIVERY,URGENT,2026-07-06,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,2.0,2.0,7.0,SPLIT_DELIVERY,URGENT,2026-07-11,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,Maintenance Spare Parts,SLOW_PICK,LOC-SP-001,4.0,4.0,8.0,SPLIT_DELIVERY,URGENT,2026-07-07,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
