batch_id,sku_id,product_name,category,batch_quantity,expiry_date,batch_status,active_batch_quantity_flag,active_batch_action_required,batch_trace_only_flag,include_in_physical_map,include_in_traceability_layer,visual_quantity,visual_layer,visual_status_group,visual_warning_flags,visual_info_flags,recommended_batch_location_id,recommended_batch_zone,map_x,map_y,map_z,map_zone,map_label,map_color_group,visual_color_group_resolved,visual_color_name,visual_priority,visual_label,visual_hover_text,show_on_physical_map,show_on_traceability_layer
BATCH-005-01,SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,35.0,2026-05-29,EXPIRED_BATCH,True,True,False,True,True,35.0,QUARANTINE_EXPIRED,QUARANTINE_EXPIRED,,,LOC-QA-001,QUARANTINE,54.0,12.0,1.0,QUARANTINE,BATCH-005-01 -> LOC-QA-001,EXPIRED_BATCH,QUARANTINE_EXPIRED,PURPLE,50,BATCH-005-01 | EXPIRED_BATCH,Batch: BATCH-005-01 | SKU: SKU-CHC-005 | Product: Valentine Chocolate Box 250g | Quantity: 35.0 | Expiry: 2026-05-29 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-QA-001 | Zone: QUARANTINE | Physical map: True | Traceability layer: True,True,True
BATCH-006-01,SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,360.0,,HEALTHY_BATCH,True,True,False,True,True,360.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-BK-001,BULK_STORAGE,48.0,20.0,1.0,BULK_STORAGE,BATCH-006-01 -> LOC-BK-001,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-006-01 | HEALTHY_BATCH,Batch: BATCH-006-01 | SKU: SKU-BBQ-006 | Product: BBQ Charcoal 5kg | Quantity: 360.0 | Status: HEALTHY_BATCH | Location: LOC-BK-001 | Zone: BULK_STORAGE | Physical map: True | Traceability layer: True,True,True
BATCH-006-02,SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,360.0,,HEALTHY_BATCH,True,True,False,True,True,360.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-BK-001,BULK_STORAGE,48.0,20.0,1.0,BULK_STORAGE,BATCH-006-02 -> LOC-BK-001,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-006-02 | HEALTHY_BATCH,Batch: BATCH-006-02 | SKU: SKU-BBQ-006 | Product: BBQ Charcoal 5kg | Quantity: 360.0 | Status: HEALTHY_BATCH | Location: LOC-BK-001 | Zone: BULK_STORAGE | Physical map: True | Traceability layer: True,True,True
BATCH-007-01,SKU-UMR-007,Compact Umbrella,Accessories,2.0,,HEALTHY_BATCH,True,True,False,True,True,2.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-TC-003,EACH_PICKING,20.0,32.0,2.0,EACH_PICKING,BATCH-007-01 -> LOC-TC-003,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-007-01 | HEALTHY_BATCH,Batch: BATCH-007-01 | SKU: SKU-UMR-007 | Product: Compact Umbrella | Quantity: 2.0 | Status: HEALTHY_BATCH | Location: LOC-TC-003 | Zone: EACH_PICKING | Physical map: True | Traceability layer: True,True,True
BATCH-007-02,SKU-UMR-007,Compact Umbrella,Accessories,3.0,,HEALTHY_BATCH,True,True,False,True,True,3.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-TC-003,EACH_PICKING,20.0,32.0,2.0,EACH_PICKING,BATCH-007-02 -> LOC-TC-003,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-007-02 | HEALTHY_BATCH,Batch: BATCH-007-02 | SKU: SKU-UMR-007 | Product: Compact Umbrella | Quantity: 3.0 | Status: HEALTHY_BATCH | Location: LOC-TC-003 | Zone: EACH_PICKING | Physical map: True | Traceability layer: True,True,True
BATCH-007-03,SKU-UMR-007,Compact Umbrella,Accessories,3.0,,HEALTHY_BATCH,True,True,False,True,True,3.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-TC-003,EACH_PICKING,20.0,32.0,2.0,EACH_PICKING,BATCH-007-03 -> LOC-TC-003,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-007-03 | HEALTHY_BATCH,Batch: BATCH-007-03 | SKU: SKU-UMR-007 | Product: Compact Umbrella | Quantity: 3.0 | Status: HEALTHY_BATCH | Location: LOC-TC-003 | Zone: EACH_PICKING | Physical map: True | Traceability layer: True,True,True
BATCH-008-01,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,,HEALTHY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-SC-001,TRACE_ONLY,34.0,8.0,2.0,EACH_PICKING,BATCH-008-01 -> LOC-SC-001,HEALTHY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-008-01 | HEALTHY_BATCH,Batch: BATCH-008-01 | SKU: SKU-BAT-008 | Product: Lithium Coin Battery CR2032 | Quantity: 0.0 | Status: HEALTHY_BATCH | Location: LOC-SC-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-008-02,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,,HEALTHY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-SC-001,TRACE_ONLY,34.0,8.0,2.0,EACH_PICKING,BATCH-008-02 -> LOC-SC-001,HEALTHY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-008-02 | HEALTHY_BATCH,Batch: BATCH-008-02 | SKU: SKU-BAT-008 | Product: Lithium Coin Battery CR2032 | Quantity: 0.0 | Status: HEALTHY_BATCH | Location: LOC-SC-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-008-03,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,,HEALTHY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-SC-001,TRACE_ONLY,34.0,8.0,2.0,EACH_PICKING,BATCH-008-03 -> LOC-SC-001,HEALTHY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-008-03 | HEALTHY_BATCH,Batch: BATCH-008-03 | SKU: SKU-BAT-008 | Product: Lithium Coin Battery CR2032 | Quantity: 0.0 | Status: HEALTHY_BATCH | Location: LOC-SC-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-008-04,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,,HEALTHY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-SC-001,TRACE_ONLY,34.0,8.0,2.0,EACH_PICKING,BATCH-008-04 -> LOC-SC-001,HEALTHY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-008-04 | HEALTHY_BATCH,Batch: BATCH-008-04 | SKU: SKU-BAT-008 | Product: Lithium Coin Battery CR2032 | Quantity: 0.0 | Status: HEALTHY_BATCH | Location: LOC-SC-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-009-01,SKU-FIL-009,Replacement Water Filter,Home,96.0,,HEALTHY_BATCH,True,True,False,True,True,96.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-RC-001,RECEIVING,6.0,5.0,1.0,RECEIVING,BATCH-009-01 -> LOC-RC-001,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-009-01 | HEALTHY_BATCH,Batch: BATCH-009-01 | SKU: SKU-FIL-009 | Product: Replacement Water Filter | Quantity: 96.0 | Status: HEALTHY_BATCH | Location: LOC-RC-001 | Zone: RECEIVING | Physical map: True | Traceability layer: True,True,True
BATCH-010-01,SKU-GFT-010,Premium Gift Wrap Roll,Stationery,155.0,,HEALTHY_BATCH,True,True,False,True,True,155.0,PRIMARY_STORAGE,PRIMARY_STORAGE,NO_FEASIBLE_LOCATION_FOUND,,,EACH_PICKING,0.0,0.0,0.0,,BATCH-010-01,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,1,BATCH-010-01 | HEALTHY_BATCH,Batch: BATCH-010-01 | SKU: SKU-GFT-010 | Product: Premium Gift Wrap Roll | Quantity: 155.0 | Status: HEALTHY_BATCH | Zone: EACH_PICKING | Physical map: True | Traceability layer: True | Warnings: NO_FEASIBLE_LOCATION_FOUND,True,True
BATCH-010-02,SKU-GFT-010,Premium Gift Wrap Roll,Stationery,155.0,,HEALTHY_BATCH,True,True,False,True,True,155.0,PRIMARY_STORAGE,PRIMARY_STORAGE,NO_FEASIBLE_LOCATION_FOUND,,,EACH_PICKING,0.0,0.0,0.0,,BATCH-010-02,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,1,BATCH-010-02 | HEALTHY_BATCH,Batch: BATCH-010-02 | SKU: SKU-GFT-010 | Product: Premium Gift Wrap Roll | Quantity: 155.0 | Status: HEALTHY_BATCH | Zone: EACH_PICKING | Physical map: True | Traceability layer: True | Warnings: NO_FEASIBLE_LOCATION_FOUND,True,True
