sku_id,product_name,category,main_inventory_status,secondary_status_flags,primary_action,secondary_action,action_priority,action_reason,recommended_order_quantity,recommended_supplier_id,backup_supplier_id,supplier_review_signal,watchlist_supplier_signal,phase4_review_flag,quantity_constraint_flag,warning_codes
SKU-BIKE-ROAD-001,Road Bike,Bicycles,CRITICAL_LOW_STOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Inventory position is at or below safety stock.,86,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT
SKU-BIKE-MT-001,Mountain Bike,Bicycles,CRITICAL_LOW_STOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Inventory position is at or below safety stock.,70,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT
SKU-COMP-FRAME-ROAD-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,60,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-FRAME-MT-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,60,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-WHEEL-ROAD-700C,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,75,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-WHEEL-MT-29,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,75,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-TIRE-ROAD-700C,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,120,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-TIRE-MT-29,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,105,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,80,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,80,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-COMP-PEDAL-SET-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,0,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY
SKU-COMP-BOLT-KIT-001,UNKNOWN,UNKNOWN,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,0,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY
