batch_id,sku_id,product_name,category,batch_quantity,active_batch_quantity_flag,active_batch_action_required,batch_trace_only_flag,expiry_date,batch_status,expired_flag,near_expiry_flag,recommended_batch_zone,recommended_batch_location_id,primary_sku_location_id,quarantine_location_id,fefo_location_id,normal_storage_location_id,batch_slotting_action,batch_slotting_reason,batch_slotting_warning_flags,include_in_physical_map,include_in_traceability_layer,visual_quantity,visual_layer,visual_status_group,visual_warning_flags,visual_info_flags,assigned_temperature_controlled,assigned_security_controlled,assigned_forklift_accessible,assigned_perishable_allowed,assigned_fragile_allowed,assigned_heavy_allowed,zone_match_type,map_x,map_y,map_z,map_zone,map_label,map_color_group
BATCH-006-01,SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,360.0,True,True,False,,HEALTHY_BATCH,False,False,PALLET_STORAGE,LOC-PL-001,LOC-PL-001,,,LOC-PL-001,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,360.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,False,True,False,False,True,EXACT_ZONE_MATCH,14.0,12.0,1.0,PALLET_STORAGE,BATCH-006-01 -> LOC-PL-001,HEALTHY_BATCH
BATCH-006-02,SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,360.0,True,True,False,,HEALTHY_BATCH,False,False,PALLET_STORAGE,LOC-PL-001,LOC-PL-001,,,LOC-PL-001,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,360.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,False,True,False,False,True,EXACT_ZONE_MATCH,14.0,12.0,1.0,PALLET_STORAGE,BATCH-006-02 -> LOC-PL-001,HEALTHY_BATCH
BATCH-007-01,SKU-UMR-007,Compact Umbrella,Accessories,2.0,True,True,False,,HEALTHY_BATCH,False,False,EACH_PICKING,LOC-TC-003,LOC-TC-003,,,LOC-TC-003,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,2.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,True,False,False,True,True,False,EXACT_ZONE_MATCH,20.0,32.0,2.0,EACH_PICKING,BATCH-007-01 -> LOC-TC-003,HEALTHY_BATCH
BATCH-007-02,SKU-UMR-007,Compact Umbrella,Accessories,3.0,True,True,False,,HEALTHY_BATCH,False,False,EACH_PICKING,LOC-TC-003,LOC-TC-003,,,LOC-TC-003,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,3.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,True,False,False,True,True,False,EXACT_ZONE_MATCH,20.0,32.0,2.0,EACH_PICKING,BATCH-007-02 -> LOC-TC-003,HEALTHY_BATCH
BATCH-007-03,SKU-UMR-007,Compact Umbrella,Accessories,3.0,True,True,False,,HEALTHY_BATCH,False,False,EACH_PICKING,LOC-TC-003,LOC-TC-003,,,LOC-TC-003,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,3.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,True,False,False,True,True,False,EXACT_ZONE_MATCH,20.0,32.0,2.0,EACH_PICKING,BATCH-007-03 -> LOC-TC-003,HEALTHY_BATCH
BATCH-008-01,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,False,False,True,,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-SC-001,LOC-SC-001,,,LOC-SC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True,False,False,True,False,CAPABILITY_MATCH,34.0,8.0,2.0,EACH_PICKING,BATCH-008-01 -> LOC-SC-001,HEALTHY_BATCH
BATCH-008-02,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,False,False,True,,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-SC-001,LOC-SC-001,,,LOC-SC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True,False,False,True,False,CAPABILITY_MATCH,34.0,8.0,2.0,EACH_PICKING,BATCH-008-02 -> LOC-SC-001,HEALTHY_BATCH
BATCH-008-03,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,False,False,True,,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-SC-001,LOC-SC-001,,,LOC-SC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True,False,False,True,False,CAPABILITY_MATCH,34.0,8.0,2.0,EACH_PICKING,BATCH-008-03 -> LOC-SC-001,HEALTHY_BATCH
BATCH-008-04,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.0,False,False,True,,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-SC-001,LOC-SC-001,,,LOC-SC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True,False,False,True,False,CAPABILITY_MATCH,34.0,8.0,2.0,EACH_PICKING,BATCH-008-04 -> LOC-SC-001,HEALTHY_BATCH
BATCH-009-01,SKU-FIL-009,Replacement Water Filter,Home,96.0,True,True,False,,HEALTHY_BATCH,False,False,BULK_STORAGE,LOC-BK-001,LOC-BK-001,,,LOC-BK-001,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,96.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,False,True,False,False,True,EXACT_ZONE_MATCH,48.0,20.0,1.0,BULK_STORAGE,BATCH-009-01 -> LOC-BK-001,HEALTHY_BATCH
BATCH-010-01,SKU-GFT-010,Premium Gift Wrap Roll,Stationery,155.0,True,True,False,,HEALTHY_BATCH,False,False,SLOW_PICK,LOC-SC-002,LOC-SC-002,,,LOC-SC-002,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,155.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,True,False,False,True,False,EXACT_ZONE_MATCH,46.0,32.0,3.0,SLOW_PICK,BATCH-010-01 -> LOC-SC-002,HEALTHY_BATCH
BATCH-010-02,SKU-GFT-010,Premium Gift Wrap Roll,Stationery,155.0,True,True,False,,HEALTHY_BATCH,False,False,SLOW_PICK,LOC-SC-002,LOC-SC-002,,,LOC-SC-002,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,155.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,True,False,False,True,False,EXACT_ZONE_MATCH,46.0,32.0,3.0,SLOW_PICK,BATCH-010-02 -> LOC-SC-002,HEALTHY_BATCH
